id;start_date;end_date;language
1;2022-11-25T05:48:16;2022-11-25T03:38:31;ENGLISH
2;2022-11-24T15:15:51;2022-11-25T00:41:20;FRENCH
3;2022-11-25T01:12:03;2022-11-24T13:17:11;SPANISH
4;2022-11-25T05:42:52;2022-11-24T11:09:11;FRENCH
5;2022-11-25T07:59:15;2022-11-24T16:18:13;ENGLISH
6;2022-11-24T17:29:58;2022-11-25T07:30:18;SPANISH
7;2022-11-25T01:33:46;2022-11-24T12:07:55;FRENCH
8;2022-11-24T15:59:39;2022-11-24T12:35:28;FRENCH
9;2022-11-24T16:51:17;2022-11-25T04:22:43;FRENCH
10;2022-11-24T12:48:15;2022-11-25T05:45:44;FRENCH
